ID	Headword	Headword IAST	Slug	Letter	Grammar	Num Definitions	Num References	Num CrossRefs
sa-va-ta-ma-naubhavavailama-bavaimaukha	स्वात्मानुभवविलम्बविमुख	sa्vaāta्maānaubhavavailama्bavaimaukha	sa-va-ta-ma-naubhavavailama-bavaimaukha	स		0	0	0
	८	८		८		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	५	५		५		0	0	0
	८	८		८		0	0	0
	३	३		३		1	0	0
ayamata-ra-bhaipa-ra-ya	अयमत्राभिप्रायः	ayamata्raābhaipa्raāyaḥ	ayamata-ra-bhaipa-ra-ya	अ		0	0	0
kara-ma	कर्म	kara्ma	kara-ma	क		0	0	0
	१	१		१		0	0	0
	३	३		३		0	0	0
	१	१		१		0	0	0
ka-a-a	काण्ड६	kaāṇa्ḍa६	ka-a-a	क		0	0	0
	१	१		१		0	1	0
	६	६		६		0	0	0
	४	४		४		0	0	0
	३	३		३		0	0	0
	५	५		५		0	0	0
ka-aitai	क्षितिः	ka्ṣaitaiḥ	ka-aitai	क		0	0	0
	४	४		४		0	0	0
	१	१		१		0	0	0
	४	४		४		0	0	0
	१५	१५		१		0	0	0
	१	१		१		0	0	0
	३	३		३		0	1	0
	१	१		१		0	0	0
	३	३		३		0	0	0
ana-taradhaikara-a	अन्तरधिकरण	ana्taradhaikaraṇa	ana-taradhaikara-a	अ		0	0	0
ana-ya-nama	अन्यूनम्	ana्yaūnama्	ana-ya-nama	अ		0	0	0
	३	३		३		0	0	0
	१६	१६		१		0	0	0
akha-a-ava-ka-ya	अखण्डवाक्या	akhaṇa्ḍavaāka्yaā	akha-a-ava-ka-ya	अ		0	0	0
vara-ayana-tai	वर्णयन्ति	vara्ṇayana्tai	vara-ayana-tai	व		0	0	0
	१५	१५		१		0	0	0
	१	१		१		0	0	0
da-vaivaidha	द्विविधः	da्vaivaidhaḥ	da-vaivaidha	द		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
ja-a-nama	ज्ञानम्	ja्ñaānama्	ja-a-nama	ज		0	0	0
akhailaeta-ya	अखिलेत्या	akhailaeta्yaā	akhailaeta-ya	अ		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
kha-ya-tai	ख्यातिः	kha्yaātaiḥ	kha-ya-tai	ख		0	0	0
bha-ra-na-ta-bha-ra-na-ta	भ्रान्ताभ्रान्त	bha्raāna्taābha्raāna्ta	bha-ra-na-ta-bha-ra-na-ta	भ		0	0	0
akha-ya-taisa-va	अख्यातिसंव	akha्yaātaisaṃva	akha-ya-taisa-va	अ		0	0	0
ya-mauna-ca-ra-yaai	यामुनाचार्यैः	yaāmaunaācaāra्yaaiḥ	ya-mauna-ca-ra-yaai	य		0	0	0
vai-ae-a	विशेषः	vaiśaeṣaḥ	vai-ae-a	व		0	0	0
baodha-yama	बोध्यम्	baodha्yama्	baodha-yama	ब		0	0	0
kaecaita-tau	केचित्तु	kaecaita्tau	kaecaita-tau	क		0	0	0
tau	तु	tau	tau	त		0	0	0
ta-vata-raaivaeta-yabhaipa-raeta-ya-bhaihaitama-ca-ra-yaai	त्वत्रैवेत्यभिप्रेत्याभिहितमाचार्यैः	ta्vata्raaivaeta्yabhaipa्raeta्yaābhaihaitamaācaāra्yaaiḥ	ta-vata-raaivaeta-yabhaipa-raeta-ya-bhaihaitama-ca-ra-yaai	त		0	0	0
gatai	गतिः	gataiḥ	gatai	ग		0	0	0
acaetana	अचेतन	acaetana	acaetana	अ		0	0	0
	४४	४४		४		0	0	0
va-yaja-yatae	व्यज्यते	va्yaja्yatae	va-yaja-yatae	व		0	0	0
bha-gavatama	भागवतम्	bhaāgavatama्	bha-gavatama	भ		0	0	0
	१	१		१		0	0	0
	२	२		२		0	0	0
	६	६		६		0	0	0
	५	५		५		0	0	0
	६	६		६		0	0	0
	३	३		३		0	0	0
	१	१		१		0	0	0
	४	४		४		0	1	0
	३	३		३		0	0	0
	३	३		३		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	५	५		५		0	0	0
acaetanae	अचेतने	acaetanae	acaetanae	अ		0	0	0
eva-na-yata-raoka-tama	एवान्यत्रोक्तम्	evaāna्yata्raoka्tama्	eva-na-yata-raoka-tama	ए		0	0	0
	२	२		२		0	0	0
	१	१		१		0	0	0
	५	५		५		0	0	0
	४	४		४		0	0	0
	५	५		५		0	0	0
	३	३		३		0	1	0
	३	३		३		0	0	0
	२	२		२		0	0	0
